Last Date Sold,Latitude,Longitude,Zip,Price,Price Per Sq. Ft.,Footage,Lot Area,Beds,Baths,Address,Listing URL,Short Address,City,State,Raw Property Details,Date Scraped,Broker Name,Status,Type,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Most Recent Date Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Broker Phone,Listed By,Lister Phone,Agent Name,Agent Phone,Agent Email,Co-Agent Name,Co-Agent Phone,Buyer Agent Fee,Association Name,Association Fee,Monthly HOA Fees,Year Built,Stories,Heating,Cooling,Fireplaces,Flooring,Foundation,Garage Capacity,Sewer,Subdivision,Zoning Desc.,Property Condition,Roof Type,Virtual Tour,MLS Source,Parcel Id,Favorite Count,Page Views,Tax Paid (Most Recent),Has Private Pool,Pool Features
06/10/2021,40.40709,-74.55453,8852,630000,171,3681,72745.2,4,4,"2 Pinter Ln, Monmouth Junction, NJ 08852",https://www.zillow.com/homedetails/2-Pinter-Ln-Monmouth-Junction-NJ-08852/39173204_zpid/,,,,4 bds | 4 ba | 3681 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,544 ",1031400,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/10/2021,40.36738,-74.572495,8852,841065,279,3010,16648.63,0,,"6 Hunt Rd, Monmouth Junction, NJ 08852",https://www.zillow.com/homedetails/6-Hunt-Rd-Monmouth-Junction-NJ-08852/248885115_zpid/,,,,Studio | 3010 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$6,082 ",1121800,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/10/2021,40.319073,-74.66066,8540,595000,253,2352,11761.2,2,3,"26 Stonebridge Ln, Princeton, NJ 08540",https://www.zillow.com/homedetails/26-Stonebridge-Ln-Princeton-NJ-08540/39034156_zpid/,,,,2 bds | 3 ba | 2352 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$3,982 ",742900,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/10/2021,40.285553,-74.61757,8550,910000,159,5706,23522.4,5,5,"20 Reed Dr N, West Windsor, NJ 08550",https://www.zillow.com/homedetails/20-Reed-Dr-N-West-Windsor-NJ-08550/39036854_zpid/,,,,5 bds | 5 ba | 5706 sqft,"Sun, 6/2/24",Keller Williams Premier,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$6,805 ",1353600,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/10/2021,40.287086,-74.62451,8550,761000,,,15298.27,4,4,"6 Cedar Ct, West Windsor, NJ 08550",https://www.zillow.com/homedetails/6-Cedar-Ct-West-Windsor-NJ-08550/39039818_zpid/,,,,4 bds | 4 ba ,"Sun, 6/2/24",Callaway Henderson Sotheby's Int'l-Princeton,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$4,470 ",999800,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/10/2021,40.30935,-74.63621,8540,855000,276,3098,13873.86,4,3,"7 Juliet Ct, Princeton, NJ 08540",https://www.zillow.com/homedetails/7-Juliet-Ct-Princeton-NJ-08540/87966430_zpid/,,,,4 bds | 3 ba | 3098 sqft,"Sun, 6/2/24","Century 21 Abrams & Associates, Inc.",RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,688 ",1148400,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2021,40.53259,-74.36511,8840,390000,390,1000,30492,2,1,"15 Sylvan Ave, Metuchen, NJ 08840",https://www.zillow.com/homedetails/15-Sylvan-Ave-Metuchen-NJ-08840/39090497_zpid/,,,,2 bds | 1 ba | 1000 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$2,600 ",523200,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2021,40.36741,-74.568306,8852,750000,,,45738,4,3,"65 Wexford Dr, Monmouth Junction, NJ 08852",https://www.zillow.com/homedetails/65-Wexford-Dr-Monmouth-Junction-NJ-08852/39170414_zpid/,,,,4 bds | 3 ba ,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,123 ",287000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2021,40.399376,-74.513565,8852,760000,256,2972,30927.6,4,3,"56 Potomac Rd, Monmouth Junction, NJ 08852",https://www.zillow.com/homedetails/56-Potomac-Rd-Monmouth-Junction-NJ-08852/55553501_zpid/,,,,4 bds | 3 ba | 2972 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,160 ",365000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2021,40.327755,-74.60209,8536,579000,308,1882,32813.75,3,2,"36 Maple Ave, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/36-Maple-Ave-Plainsboro-NJ-08536/39154910_zpid/,,,,3 bds | 2 ba | 1882 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$3,999 ",525000,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
